創世記 1 1| 源起頭上帝創造天kap地。
馬太福音 24 38| 因為大水ê事先hiah-ê日，人teh lim食、嫁娶，到挪亞入大船ê日，
馬太福音 24 39| in竟然m̄知，到大水到，一盡滅in，人子ê koh來也beh án-ni。
馬太福音 24 40| Hit時beh有兩人tī園裡，一個取去，一個放teh。
馬太福音 24 41| 兩個婦人人挨磨，一個取去，一個放teh。
馬太福音 24 42| 所以tio̍h tiuⁿ-tî，因為lín m̄知lín ê主甚麼日beh來。
馬太福音 24 43| 家主若知賊甚麼更beh到，伊就tiuⁿ-tî，無容允人iah孔伊ê厝，這是lín所知。
馬太福音 24 44| 所以lín亦tio̍h備辦便；因為lín無phah算ê時，人子來lah。
馬太福音 24 45| Chī-chūi是盡忠智慧ê奴僕，主人所設立來管伊家內ê人，thang照時pun米糧hō͘ in。
馬太福音 24 46| 主人來，tú-tio̍h伊án-ni行，hit-ê奴僕有福氣。
馬太福音 24 47| 我實在kā lín講，主人beh設立伊來管伊一切所有ê。
馬太福音 24 48| 獨獨hit-ê pháiⁿ ê奴僕，若心內講，我ê主人teh 延chhiân；
馬太福音 24 49| 就phah hiah-ê kap伊同做奴僕ê，koh kap醉漢saⁿ-kap lim食，
馬太福音 24 50| 就tī無phài-phe ê日，m̄知ê時，hit-ê奴僕ê主人beh到。
馬太福音 24 51| 重重刑罰伊，chhú-tī伊kap假好ê人平等，tī hia beh有啼哭咬牙切齒。
馬太福音 25 1| Hit時天國beh比並十個在室女，kia̍h in ê燈，出去迎接新kiáⁿ婿。
馬太福音 25 2| 其中五個戇ê，五個知識ê。
馬太福音 25 3| 戇ê kia̍h in ê燈，無另外帶油。
馬太福音 25 4| 獨獨知識ê kia̍h in ê燈另外帶油tī in ê器具內。
馬太福音 25 5| 新kiáⁿ婿延chhiân，就lóng tuh-ka-chē teh睏。
馬太福音 25 6| 半暝，有大聲叫講，新kiáⁿ婿來lah；lín出來chih伊。
馬太福音 25 7| Hit時chiah-ê在室女lóng起來，修整in ê燈。
馬太福音 25 8| 戇ê kā知識ê講，請將lín ê油pun阮，因為阮ê燈beh hoa lah。
馬太福音 25 9| 知識ê應講，驚了lín阮lóng無夠；khah好去tùi賣ê人家己買。
馬太福音 25 10| 去買ê時，新kiáⁿ婿到，hiah-ê便ê kap伊入婚姻ê筵桌；門就關。
馬太福音 25 11| 然後其餘ê在室女亦來，講，主ah，主ah，kā阮開。
馬太福音 25 12| 但是伊應講，我實在kā lín講，我m̄-bat lín。
馬太福音 25 13| 所以tio̍h tiuⁿ-tî，因為lín m̄知hit-ê日，hit-ê時。
馬太福音 25 14| 因為親像一人beh去外國；就召伊家己ê奴僕將所有ê交代in。
馬太福音 25 15| 一個hō͘伊銀五千，一個hō͘伊兩千，一個hō͘伊一千；各照in ê châi-tiāu；就去外國。
馬太福音 25 16| 領五千ê，隨時去做seng-lí，koh thàn五千。
馬太福音 25 17| 領兩千ê亦是án-ni，koh thàn兩千。
馬太福音 25 18| 獨獨hit-ê領一千ê去，就掘地，來khǹg密伊ê主人ê銀。
馬太福音 25 19| 過久久，chiah-ê奴僕ê主人到，kap in算賬。
馬太福音 25 20| 領五千ê來，koh帶五千，講，主ah，你交代我五千；你看，我有koh thàn五千。
馬太福音 25 21| 伊ê主人kā伊講，好ah，好koh盡忠ê奴僕，你tī少(chió)ê已經盡忠，我beh設立你來管chōe-ê；thang入你ê主人ê快樂。
馬太福音 25 22| 領兩千ê亦來，講，主ah，你交代我兩千；你看，我有koh thàn兩千。
馬太福音 25 23| 伊ê主人kā伊講，好ah，好koh盡忠ê奴僕，你tī少ê已經盡忠，我beh設立你來管chōe-ê；thang入你ê主人ê快樂。
馬太福音 25 24| 領一千ê亦來，講，主ah，我知你是嚴核(ha̍t)ê人；bē掖ê所在，就beh收割；bē分散ê所在，就beh拾做堆。
馬太福音 25 25| 所以我驚，就將你一千銀去tâi tī地裡；taⁿ你ê原物還你。
馬太福音 25 26| 伊ê主人就應伊講，Pháiⁿ koh pîn-tōaⁿ ê奴僕ah，你既然知我bē掖ê所在，就beh收割，bē分散ê所在，就beh拾做堆。
馬太福音 25 27| 就tio̍h將我ê銀hē tī錢店；我來ê時thang得tio̍h我ê本銀kap利息。
馬太福音 25 28| 所以tio̍h tùi伊the̍h hit一千，來hō͘ hit-ê有十千ê。
馬太福音 25 29| 因為見若有ê，beh hō͘伊，hō͘伊有chhun；無ê，連伊所有ê，亦beh the̍h伊。
馬太福音 25 30| 亦hit-ê無利益ê奴僕，趕伊tī外面烏暗ê所在；tī hia beh有啼哭，咬牙切齒。
馬太福音 25 31| 當人子tī伊ê榮光，kap lóng總ê天使來ê時，伊beh坐伊榮光ê座位，
馬太福音 25 32| 聚集萬邦tī伊ê面前；伊就beh分別in，親像牧者分別綿羊離開山羊。
馬太福音 25 33| 將綿羊hē tī伊ê chiàⁿ-pêng，山羊hē tī伊ê tò-pêng。
馬太福音 25 34| Hit時王beh kā chiàⁿ-pêng ê講，Lín tùi我ê父得tio̍h恩典ê，進前來承接國，就是tùi創造世間以來kā lín備辦ê。
馬太福音 25 35| 因為我iau，Lín bat hō͘我食；我嘴乾，lín hō͘我lim；我出外，lín hō͘我tòa；我thǹg-pak-theh，lín hō͘我穿；
馬太福音 25 36| 我破病，lín看顧我；我tī監裡，lín來chhē我。
馬太福音 25 37| Hit時義人beh應伊講，主ah，阮甚麼時看見你iau，來hō͘你食？嘴乾，來hō͘你lim？
馬太福音 25 38| 甚麼時看見你出外，來hō͘你tòa？thǹg-pak-theh，來hō͘你穿？
馬太福音 25 39| 甚麼時看見你破病，á是tī監裡，來chhē你？
馬太福音 25 40| 王beh應伊講，我實在kā lín講，Lín既然行伊tī我ê兄弟至微細ê ê一個，就是行伊tī我。
馬太福音 25 41| Koh beh kā tò-pêng ê講，Lín受咒詛 ê，tio̍h離開我，入永遠ê火，就是為tio̍h魔鬼kap伊chiah-ê使者所備辦ê。
馬太福音 25 42| 因為我iau，lín m̄-bat hō͘我食；我嘴乾，lín m̄-bat hō͘我lim；我出外，lín m̄-bat hō͘我tòa；
馬太福音 25 43| 我thǹg-pak-theh，lín m̄-bat hō͘我穿；我破病kap tī監裡，lín m̄-bat看顧我。
馬太福音 25 44| In亦beh應講，主ah，阮甚麼時看見你iau，á是嘴乾，á是出外，á是thǹg-pak-theh，á是破病，á是tī監裡，來無服事你ah？
馬太福音 25 45| 伊就beh應伊講，我實在kā lín講，Lín既然無行伊tī chiah-ê至微細ê ê一個，就是無行伊tī我。
馬太福音 25 46| Chiah-ê人beh去入永遠ê刑罰；但是義ê人入永遠活。
馬太福音 26 1| 耶穌講chiah-ê話soah，就kā伊ê學生講，
馬太福音 26 2| Lín知過兩日pôaⁿ過節就到，人子tú-tio̍h解送去釘十字架。
馬太福音 26 3| Hit時hiah-ê祭司頭kap百姓 ê長老聚集tī祭司頭，名該亞法ê院，
馬太福音 26 4| saⁿ-kap參詳用詭譎ê計掠耶穌來thâi伊。
馬太福音 26 5| 總是講，當節期m̄-thang，驚了百姓 ê中間有擾亂。
馬太福音 26 6| 耶穌tī伯大尼，thái-ko西門ê厝，
馬太福音 26 7| 有婦人人tòa玉瓶，內面tóe極貴氣ê香油，就近伊，當伊坐桌ê時拚(piàⁿ)tī伊頭殼頂。
馬太福音 26 8| 學生看見就受氣，講，Án-ni破費有啥路用？
馬太福音 26 9| 因為chit-ê油能賣得chōe-chōe銀，來hō͘ sòng-hiong人。
馬太福音 26 10| 耶穌知就kā in講，Lín啥事刁難chit-ê婦人人ah？因為伊所行來款待我ê是好事。
馬太福音 26 11| 因為常常有sòng-hiong人kap lín tī-teh，但是我無常常kap lín tī-teh。
馬太福音 26 12| 因為伊倒chit-ê油tī我身軀，就是備辦我埋葬來行ê。
馬太福音 26 13| 我實在kā lín講，普天下，無論甚麼所在傳chit-ê福音，也beh講起chit-ê婦人人所行，來記念伊。
馬太福音 26 14| Hit時十二個學生一個，名做加略人猶大，去見hiah-ê祭司頭，
馬太福音 26 15| 講，Lín beh hō͘我jōa chōe，我beh將伊交hō͘ lín？In就kap伊約，hō͘伊銀三十。
馬太福音 26 16| Tùi hit時伊chhē機會將耶穌交hō͘ in。
馬太福音 26 17| 除酵節ê頭一日，學生就近耶穌講，Ài阮tī甚麼所在kā你備辦食pôaⁿ過節？
馬太福音 26 18| 伊講，Lín入城chhē某人，kā伊講，先生講，我ê時近lah；我kap我ê學生守pôaⁿ過節tī你tau。
馬太福音 26 19| 學生照耶穌所吩咐ê去行：就備辦pôaⁿ過節。
馬太福音 26 20| 到日暗耶穌kap十二個學生坐桌。
馬太福音 26 21| 食ê時，耶穌講，我實在kā lín講，lín中間一人beh賣我。
馬太福音 26 22| 眾人真憂悶，一個一個kā伊講，主ah，總無是我o͘h？
馬太福音 26 23| 伊應講，Kap我伸手tī盤裡ê，hit-ê beh賣我。
馬太福音 26 24| 人子tò去照所記載指伊ê話；但是賣人子ê有災禍ah！hit人無出世khah好。
馬太福音 26 25| 賣伊ê猶大講，拉比，總無是我o͘h？kā伊講，你已經講lah。
馬太福音 26 26| In teh食ê時，耶穌the̍h餅，祝謝peh破，pun hō͘學生，講，the̍h去食；chit-ê是我ê身軀。
馬太福音 26 27| Koh捧(phâng)杯祝謝hō͘ in，講，Lín lóng tio̍h lim伊；
馬太福音 26 28| chit-ê是我ê血，就是盟約ê血，為tio̍h chōe-chōe人來流出ê，致到罪得tio̍h赦免。
馬太福音 26 29| 但是我kā lín講，taⁿ了後我無lim chit-ê葡萄ê汁，thèng候hit日我kap lín lim hit-ê新ê tī我ê父ê國。
馬太福音 26 30| 已經吟詩，就出來，去橄欖山。
馬太福音 26 31| Hit時耶穌kā in講，今暝lín lóng beh為tio̍h我來受塞礙，因為有記載講，我beh phah牧者，就羊群四散。
馬太福音 26 32| 但是我koh活了後beh事先lín去加利利。
馬太福音 26 33| 彼得應伊講，眾人雖然為tio̍h你來受塞礙，也我永永無受塞礙。
馬太福音 26 34| 耶穌kā伊講，我實在kā你講，今暝雞iáu-bē啼，你beh三pái m̄認我。
馬太福音 26 35| 彼得kā伊講，我就若tio̍h kap你死，也決斷無m̄認你。眾學生也lóng是án-ni講。
馬太福音 26 36| 耶穌kap in到一所在，名客西馬尼，kā伊ê學生講，Lín chiah-ê坐chia，thèng候我去hia祈禱。
馬太福音 26 37| Chiah chhōa彼得kap西庇太兩個kiáⁿ saⁿ-kap去；就憂悶、慘慼。
馬太福音 26 38| kā in講，我ê心真憂悶到beh死，lín tòa chia kap我警醒。
馬太福音 26 39| Lio̍h-lio̍h-á進前，面phak tī地裡，祈禱，講，我ê父ah，若會做得，tio̍h hō͘ chit-ê杯離開我；總是m̄是照我所ài，是照你所ài。
馬太福音 26 40| 就來學生hia，看見in teh睏，kā彼得講，Án怎樣，lín bōe-ōe kap我警醒半時久ah？
馬太福音 26 41| Tio̍h警醒，tio̍h祈禱，免得入tī迷惑；心神甘願，但是肉體軟chiáⁿ。
馬太福音 26 42| 第二pái koh去祈禱，講，我ê父ah，chit-ê杯若bōe得離開我，的確tio̍h我lim伊，就願你ê旨意得成。
馬太福音 26 43| koh再來看見in又teh睏，因為in ê目睭siap。
馬太福音 26 44| 離開in koh去，第三pái祈禱，也是講hiah-ê話。
馬太福音 26 45| Hit-tia̍p koh就近學生，kā in講，Taⁿ thang睏來安歇lah。時近lah，人子受賣tī罪人ê手。
馬太福音 26 46| 起來saⁿ-kap行；賣我ê人近lah。
馬太福音 26 47| Iáu-teh講ê時，忽然十二個學生ê一個，猶大，來，也有kui陣人kia̍h刀kap槌á，tùi chiah-ê祭司頭kap百姓 ê長老hia saⁿ-kap來。
馬太福音 26 48| 賣伊ê bat kap in套暗號，講，我kā伊chim ê，hit人就是，lín thang掠伊。
馬太福音 26 49| 即時就近耶穌，講，拉比，平安；就直直kā伊chim。
馬太福音 26 50| 耶穌kā伊講，朋友ah，你beh來做ê，就做。Hiah-ê人就進前，起手掠耶穌。
馬太福音 26 51| 忽然有kap耶穌tī-teh ê一人伸手拔刀，thâi祭司頭ê奴僕，削去伊一個耳á。
馬太福音 26 52| 耶穌就kā伊講，收你ê刀入原位，因為凡若kia̍h刀ê beh tùi刀死。
馬太福音 26 53| Á是你phah算我bōe-ōe求我ê父，就伊tī chit-tia̍p beh kā我差十二營khah加ê天使mah？
馬太福音 26 54| 若án-ni，就聖經所講chit-ê tāi-chì的確有ê，怎樣會應驗ah？
馬太福音 26 55| Hit時耶穌kā in hiah-ê人講，Lín kia̍h刀kap槌á出來掠我，親像beh掠賊mah？我日日坐tī殿內教示人，也lín無掠我。
馬太福音 26 56| 總是chit-ê事lóng成，是beh應驗先知所記載ê。」Hit時學生lóng離開伊走。
馬太福音 26 57| 掠耶穌ê帶伊到祭司頭該亞法ê所在，tī hia hiah-ê經學士kap長老已經聚集。
馬太福音 26 58| 彼得遠遠tè伊到祭司頭ê院，入內面kap hiah-ê差役saⁿ-kap坐，beh看hit-ê結局。
馬太福音 26 59| Chiah-ê祭司頭kap全公會chhē lām-sám ê干證攻擊耶穌，ài hō͘伊死。
馬太福音 26 60| 雖然chōe-chōe lām-sám干證ê來，也無得tio̍h。後來有兩個到，講，
馬太福音 26 61| Chit人bat講，我會毀壞上帝ê殿，三日就起伊。
馬太福音 26 62| 祭司頭起來kā伊講，你lóng無應mah？Chiah-ê人所干證你ê是甚麼？
馬太福音 26 63| 但是耶穌靜靜。祭司頭kā伊講，當chit-ê真活上帝，我命令你chiù-chōa來kā阮講，你果然是上帝ê Kiáⁿ，基督，á m̄是。
馬太福音 26 64| 耶穌kā伊講，你已經講lah；但是我kā lín講，Tùi chit-tia̍p了後lín beh看見人子坐tī有權能ê ê大pêng，坐天 ê雲來。
馬太福音 26 65| Tùi án-ni祭司頭拆裂家己ê衫，講，伊講出僭權褻瀆ê話；咱iáu-kú欠甚麼干證ah？Taⁿ lín已經聽見伊ê僭權褻瀆lah。
馬太福音 26 66| Lín phah算怎樣？應講，伊該死。
馬太福音 26 67| 就phùi-nōa tī伊ê面，用拳頭母cheng伊；也有5用手siàn伊，
馬太福音 26 68| 講，基督ah，你是先知，tio̍h kā阮講，phah你ê是是誰。
馬太福音 26 69| 彼得坐tī外院；有一個女婢近óa伊講，你也bat kap加利利人耶穌做陣。
馬太福音 26 70| 彼得當眾人ê面前m̄認講，我m̄知你teh講甚麼。
馬太福音 26 71| 出去到院門，koh一個女婢看見伊，kā tī hia ê人講，Chit-ê也bat kap拿撒勒人耶穌做陣。
馬太福音 26 72| 彼得koh m̄認，續chiù-chōa講，我m̄-bat hit-ê人。
馬太福音 26 73| 有hiah久，邊á teh khiā ê人近óa kā彼得講，你實在也是in ê黨，因為對你ê腔口露出。
馬太福音 26 74| 伊chiah咒罵，koh chiù-chōa，講，我m̄-bat hit-ê人。雞就啼。
馬太福音 26 75| 彼得就記得耶穌ê話講，雞iáu-bē啼，你beh三pái m̄認我。就出去外面，大啼哭。
馬太福音 27 1| 到天光，眾祭司頭kap百姓 ê長老saⁿ-kap計謀攻擊耶穌，ài hō͘伊死。
馬太福音 27 2| 已經縛伊，就帶去交hō͘總督彼拉多。
馬太福音 27 3| Hit時賣伊ê猶大看見耶穌受定罪，就退悔，將hiah-ê三十銀還chiah-ê祭司頭kap長老，
馬太福音 27 4| 講，我賣無罪ê ê血，有罪lah。In講，Kap阮啥干涉？你家己打算。
馬太福音 27 5| 猶大hiat hiah-ê銀tī殿裡，退去家己吊死。
馬太福音 27 6| Hiah-ê祭司頭the̍h hit-ê銀，講，這是血ê價，m̄-thang lok tī庫房。
馬太福音 27 7| In就參詳，將hit-ê銀去買燒磁人ê園，thang埋葬出外人。
馬太福音 27 8| 所以hit khu園到taⁿ稱做血園。
馬太福音 27 9| Tùi án-ni應驗早託先知耶利米所講ê，講，In the̍h受苦ê ê價銀三十，就是以色列ê kiaⁿ孫中有人所股(kó͘)ê；
馬太福音 27 10| 用伊來買燒磁ê ê園，照主所命令我ê。
馬太福音 27 11| 耶穌khiā tī總督ê面前；總督問伊講，你是猶太人ê王mah？耶穌kā伊講，你講，就是。
馬太福音 27 12| 伊hō͘ hiah-ê祭司頭長老告，伊也無應。
馬太福音 27 13| Hit時，彼拉多kā伊講，Hiah-ê人干證你到hiah chōe項，你無聽見mah？
馬太福音 27 14| 耶穌無應伊一句話，致到總督大奇怪。
馬太福音 27 15| 到節期總督照例放一個犯人hō͘眾人，是照in所ài ê。
馬太福音 27 16| Hit時有出名ê犯人，名叫巴拉巴。
馬太福音 27 17| In已經聚集，彼拉多kā in講，Lín ài我放是誰 hō͘ lín？是巴拉巴，á是稱做基督ê耶穌？
馬太福音 27 18| 因為知in為tio̍h怨妒chiah解送耶穌。
馬太福音 27 19| 伊坐堂ê時，伊ê bó͘差人kā伊講，Chit-ê義人你m̄-thang干涉tio̍h；因為我今á日tī眠夢中為tio̍h伊chōe-chōe艱苦。
馬太福音 27 20| Chiah-ê祭司頭kap長老kiau-so眾人，求放巴拉巴，滅耶穌。
馬太福音 27 21| 總督應講，Chit兩人lín ài我放tá-lo̍h一個hō͘ lín？In講，巴拉巴。彼拉多kā in講，
馬太福音 27 22| Án-ni，就稱做基督ê耶穌，我tio̍h怎樣辦伊？In lóng講，釘伊十字架。
馬太福音 27 23| 總督講，怎樣，伊有行甚麼pháiⁿ？In大聲hoah講，釘伊十字架。
馬太福音 27 24| 彼拉多看見無chhái-kang，反tńg ná擾亂，就捧水，tī眾人ê面前洗手，講，Tī chit-ê義人ê血我無罪，lín家己打算。
馬太福音 27 25| 百姓 lóng應伊講，伊ê血歸tī阮kap阮ê kiaⁿ孫。
馬太福音 27 26| 伊就放巴拉巴hō͘ in。已經鞭phah耶穌，就發交去釘十字架。
馬太福音 27 27| Hit時總督ê兵帶耶穌入公堂，聚集thong營圍伊。
馬太福音 27 28| Thǹg伊ê衫，將紅袍kā伊穿；
馬太福音 27 29| 用刺á編冕旒，tì tī伊ê頭殼，用蘆竹hē tī伊ê 正手，跪tī伊ê面前戲弄伊講，猶太人ê王，平安。
馬太福音 27 30| 就kā伊phùi-nōa，kia̍h hit支蘆竹，來sut伊ê頭殼。
馬太福音 27 31| 戲弄soah，hit領袍就kā伊thǹg起來，將伊家己ê衫kā伊穿，帶伊去釘十字架。
馬太福音 27 32| 出來ê時tú-tio̍h一個Kó͘-lī-nāi人名西門，勉強伊saⁿ-kap去，hō͘伊giâ耶穌ê十字架。
馬太福音 27 33| 到一所在，名各各他，就是頭殼碗ê所在，就用苦膽所調和ê酒hō͘伊lim；
馬太福音 27 34| 伊試看，就m̄ lim。
馬太福音 27 35| 已經釘伊tī十字架，就做鬮pun伊ê衣服；
馬太福音 27 36| koh坐tī hia顧守伊。
馬太福音 27 37| 就hē斬條tī伊ê頭殼ê頂面，寫講，chit-ê是猶太人ê王，耶穌。
馬太福音 27 38| Hit時，有兩個賊kap伊同釘tī十字架，一個tī chiàⁿ-pêng，一個tī tò-pêng。
馬太福音 27 39| 經過ê人譏刺伊，搖頭講，
馬太福音 27 40| 你毀壞殿，三日koh起ê，tio̍h救家己；你若是上帝ê Kiáⁿ，tio̍h tùi十字架落來。
馬太福音 27 41| Hiah-ê祭司頭kap經學士以及長老也是án-ni戲弄伊，講，
馬太福音 27 42| 伊bat救別人，bōe-ōe救家己。伊做以色列ê王，taⁿ tio̍h tùi十字架落來，阮就beh信伊。
馬太福音 27 43| 伊óa靠上帝，上帝若歡喜伊，taⁿ就tio̍h救伊；因為伊講，我就是上帝ê Kiáⁿ。
馬太福音 27 44| Kap伊同釘hit兩個賊也是án-ni罵伊。
馬太福音 27 45| Tùi日中晝到三點，遍地烏暗。
馬太福音 27 46| 差不多三點，耶穌大聲喉叫講，Í-lī，Í-lī，lia̍p-má sat-pok-tāi-nî，就是講，我ê上帝，我ê上帝，你啥事放離我？
馬太福音 27 47| 邊頭khia7e5有人聽見就講，伊teh叫以利亞。
馬太福音 27 48| 中間一人即時走去，the̍h海絨，浸醋，hâ tī蘆竹á尾，hō͘伊suh。
馬太福音 27 49| 其餘ê講，且慢，看以利亞來救伊á無。
馬太福音 27 50| 耶穌koh大聲喉叫，就斷氣。
馬太福音 27 51| 忽然殿內ê帳，tùi頂到下，裂做兩pêng；地動，石磐裂；
馬太福音 27 52| 墓開，已經teh睏ê聖徒，in ê身軀chōe-chōe起來，tùi in ê墓出；
馬太福音 27 53| 到耶穌koh活了後，in入聖城，出現tī chōe-chōe人。
馬太福音 27 54| 百總kap相同顧守耶穌ê，看見地動，kap所經過ê事，不止驚，講，Chit-ê果然是上帝ê Kiáⁿ。
馬太福音 27 55| 有chōe-chōe婦人人tī hia遠遠teh看；in就是tùi加利利跟tè耶穌來服事伊ê；
馬太福音 27 56| 從中有抹大拉ê馬利亞，雅各約西ê老母馬利亞，kap西庇太ê Kiáⁿ ê老母。
馬太福音 27 57| 已經暗，有A-lī-má-thài ê好額人來，名做約瑟，伊也是耶穌ê學生。
馬太福音 27 58| Hit人去見彼拉多，求耶穌ê身屍；彼拉多吩咐tio̍h hō͘伊。
馬太福音 27 59| 約瑟收hit-ê身屍，用清氣ê幼布包伊；
馬太福音 27 60| hē tī伊家己ê新墓，就是伊tī石磐所phah ê；就kō大塊石tī墓門，chiah去。
馬太福音 27 61| 有抹大拉ê馬利亞kap別個馬利亞tī hia，坐tī墓ê對面。
馬太福音 27 62| 隔日，就是備辦節後ê一日，hiah-ê祭司頭kap法利賽人聚集見彼拉多講，
馬太福音 27 63| 大人ah，阮記得hit-ê迷惑人ê，活teh ê時bat講，三日後我beh koh活。
馬太福音 27 64| 所以請你命令顧守hit-ê墓，到第三日；驚了伊ê學生來偷伊去，亦kā百姓講，伊tùi死人中koh活；án-ni，就後來ê差謬，比事先khah厲害。
馬太福音 27 65| 彼拉多kā in講，Lín領兵去，照lín所知影ê去顧守。
馬太福音 27 66| In就去，封石kap設兵，來顧守hit-ê墓。
馬太福音 28 1| 安歇日後，七日ê頭一日，天phú光。抹大拉ê馬利亞kap別個馬利亞來beh看hit-ê墓。
馬太福音 28 2| 忽然地大振動，因為主ê天使tùi天落來，kō開hit塊石，來坐tī頂面。
馬太福音 28 3| 伊ê面貌親像sih-nà，衫白親像雪。
馬太福音 28 4| 顧守ê人因為驚，就ngia̍uh-ngia̍uh-chhoah，變親像死。
馬太福音 28 5| 天使應hiah-ê婦人人講，Lín m̄免驚，因為我知lín teh chhē釘十字架ê耶穌。
馬太福音 28 6| 伊無tī chia，因為伊已經koh活，照伊所講ê；lín來看主所倒ê所在。
馬太福音 28 7| 也tio̍h緊緊去kā伊ê學生講，伊tùi死人中koh活，也beh事先lín去加利利，tī hia lín beh看見伊；我已經kā lín講lah。
馬太福音 28 8| In緊緊離開墓，也驚也大歡喜，走去報伊ê學生。
馬太福音 28 9| 忽然耶穌tú-tio̍h in，講，平安。In進前，抱伊ê腳，拜伊。
馬太福音 28 10| 耶穌就kā in講，M̄免驚，去報我ê兄弟，kah in去加利利，tī hia beh看見我。
馬太福音 28 11| 婦人人去ê時，顧守ê兵有ê入城，用所經過ê事一盡報chiah-ê祭司頭。
馬太福音 28 12| In就kap長老聚集，saⁿ-kap參詳，用chōe-chōe銀hō͘兵，講，
馬太福音 28 13| Lín tio̍h講，阮teh睏ê時，伊ê學生暝時來偷去。
馬太福音 28 14| 設使chit-ê tāi-chì hō͘總督聽見，阮就beh勸伊，hō͘ lín無事。
馬太福音 28 15| In the̍h hiah-ê銀，照所教in ê去行；chit-ê話就遍傳猶太人中，到tī今á日。
馬太福音 28 16| 但是十一個學生去加利利，到耶穌所bat kā in tiāⁿ-tio̍h ê山。
馬太福音 28 17| 看見伊，就拜伊；總是有ê僥疑。
馬太福音 28 18| 耶穌近óa來對in講話，講，天頂地下ê權，已經lóng總hō͘我。
馬太福音 28 19| 所以lín tio̍h去招萬百姓 來做學生，kā in行洗禮，hō͘ in歸tī父，Kiáⁿ，聖神ê名；
馬太福音 28 20| 見若我所有命令lín ê，tio̍h教示in守；koh我日日kap lín tī-teh，到世間ê路尾。
馬可福音 1 1| 上帝ê Kiáⁿ耶穌基督福音ê起頭。
馬可福音 1 2| 親像tī先知以賽亞ê冊所記載講，	我差我ê使者tī你ê面前，	來修整你ê路；
馬可福音 1 3| 有teh叫tī曠野ê，伊ê聲講，	Tio̍h備辦主ê路，	修直伊ê小路。
馬可福音 1 4| 約翰來tī曠野行洗禮，傳反悔ê洗禮，hō͘人得tio̍h赦罪。
馬可福音 1 5| Thong猶太地kap耶路撒冷ê眾人lóng出來就近伊，認in ê罪，tī約旦河tùi伊受洗禮。
馬可福音 1 6| Chit-ê約翰穿駱駝毛，腰hâ皮帶，食草蜢kap山野ê蜜。
馬可福音 1 7| 伊傳講，有一個比我khah有權能ê tè尾我來；就屈落來tháu伊ê鞋帶，我也bōe堪得。
馬可福音 1 8| 我bat用水kā lín行洗禮，伊beh用聖神kā lín洗。
馬可福音 1 9| 當chiah-ê日耶穌tùi加利利ê拿撒勒來，tī約旦河tùi約翰受洗禮。
馬可福音 1 10| 即時tùi水起來，就看見天裂開，聖神親像鴿á降臨tī伊ê頂面；
馬可福音 1 11| koh tùi天有聲講，你是我所疼ê Kiáⁿ，我歡喜你。
馬可福音 1 12| 聖神即時逼伊去曠野。
馬可福音 1 13| Tī曠野四十日，tú-tio̍h撒旦試，也kap野獸saⁿ-kap tòa；有天使伺候伊。
馬可福音 1 14| 約翰已經關監，耶穌到加利利，傳上帝ê福音，講，
馬可福音 1 15| 日期滿lah，上帝ê國近lah；lín tio̍h反悔來信福音。
馬可福音 1 16| 耶穌經過加利利ê海墘，看見西門kap伊ê兄弟安得烈拋網tī海裡；因為是討魚人。
馬可福音 1 17| 耶穌kā in講，Lín來tè我，我beh hō͘ lín得tio̍h人親像討魚ê。
馬可福音 1 18| In liâm-piⁿ離開網，來tè伊。
馬可福音 1 19| Lio̍h-á進前，看見西庇太ê Kiáⁿ雅各kap伊ê兄弟約翰tī船裡teh補網。
馬可福音 1 20| 伊liâm-piⁿ招in，in就拜別in老父西庇太kap倩工人tī船裡，來tè tī伊ê後面。
馬可福音 1 21| In入迦百農，耶穌tī安歇日入會堂，教示人。
馬可福音 1 22| 人奇怪伊ê教示；因為伊教示人親像有權ê，無親像經學士。
馬可福音 1 23| Tú-á會堂內有一個患tio̍h鬼ê人喉叫講，
馬可福音 1 24| 拿撒勒人耶穌，阮kap你甚麼干涉？你來beh滅阮mah？我知你是是誰，就是上帝ê聖ê。
馬可福音 1 25| 耶穌責備伊講，你tio̍h靜靜，tùi chit人出去。
馬可福音 1 26| 邪神thiu-chhoah hit人，大聲叫，就tùi伊出去。
馬可福音 1 27| 眾人lóng gông-ngia̍h，致到saⁿ辯論，講，chit-ê是怎樣？是新ê教示。伊用權命令邪神，邪神也sūn-thàn伊。
馬可福音 1 28| 伊ê名聲隨時遍傳加利利ê四方。
馬可福音 1 29| In已經出會堂，隨時kap雅各約翰入西門kap安得烈ê家。
馬可福音 1 30| 西門ê丈母患tio̍h熱病倒teh，隨時有人將這kā耶穌講。
馬可福音 1 31| 伊近óa牽伊ê手，hō͘伊起來，熱就退；婦人人就伺候in。
馬可福音 1 32| 到黃昏暗，日落了，有人chhōa lóng總有破病ê，kap患tio̍h鬼ê人就近伊。
馬可福音 1 33| Thong城lóng聚集tī門口。
馬可福音 1 34| 耶穌醫好ta̍k樣病ê人chōe-chōe，koh趕chōe-chōe鬼；因為鬼bat伊，所以m̄准in講。
馬可福音 1 35| 隔早起，天iáu不止暗，耶穌起來出去曠野ê所在，tī hia祈禱。
馬可福音 1 36| 西門kap同伴ê人追chhē伊。
馬可福音 1 37| 已經tú-tio̍h就kā伊講，眾人lóng teh chhē你。
